task_room,method,selected_ids,mean_detection_probability,mean_position_error_bound_m,route_information
902,uniform_fixed,10 12 15 17,0.07809496876746891,1.567685221458977,0.009193287076039364
902,doorway_manual,11 13 15 17,0.1456218054860394,2.132805264441757,1.4789357307115467
902,global_d_optimal,12 13 15 17,0.05976571035735534,2.047337191171777,-1.1252553173685582
902,task_conditioned,10 11 12 13,0.21304021544190466,1.3516972883875975,3.127393204989753
904,uniform_fixed,10 12 15 17,0.12061343515313401,1.6261217009241018,0.8412457543548186
904,doorway_manual,11 13 15 17,0.1746919503881837,1.666811235996511,1.8886517682124626
904,global_d_optimal,12 13 15 17,0.2566119871503867,1.0328641462668184,4.373369526481273
904,task_conditioned,10 11 12 13,0.2747602320652176,1.0326619009878304,4.3775232814784095
906,uniform_fixed,10 12 15 17,0.11277683001708716,2.0925497628433942,0.6473666356729347
906,doorway_manual,11 13 15 17,0.2505466903986929,1.3183669505467022,3.380578924977488
906,global_d_optimal,12 13 15 17,0.25573780428413007,1.3182344784777777,3.384290570407956
906,task_conditioned,12 13 14 15,0.2734951107324719,1.1715518048368492,4.749084865069308
908,uniform_fixed,10 12 15 17,0.12889865925400745,2.0763846478569747,0.6963412364203485
908,doorway_manual,11 13 15 17,0.1493344122570723,1.78629901689811,1.3354382415303594
908,global_d_optimal,12 13 15 17,0.1493344122570723,1.78629901689811,1.3354382415303594
908,task_conditioned,13 15 16 17,0.21377977656150593,1.6211952525432645,2.8882610502826007
